date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:18	278/278	---MC-	200	added ('OK')	text/plain	date:Thu,%2002%20Jul%202020%2019:03:18%20GMT	https://www.magazinevoce.com.br/robots.txt		(from )
16:03:19	142631/142631	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jul%202020%2019:03:19%20GMT	https://www.magazinevoce.com.br/magazinediegoluan/	C:/Meus%20Sites/magalu/www.magazinevoce.com.br/magazinediegoluan/index.html	(from )
16:03:20	2282/2282	---M--	200	added ('OK')	image/png	etag:%226ed895dd174cd2a59216eb5a3ff49a8a%22	https://mvc.mlcdn.com.br/magazinevoce/img/favicon/magazine-voce/apple-touch-icon-57x57.png	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/favicon/magazine-voce/apple-touch-icon-57x57.png	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:20	2282/2282	---M--	200	added ('OK')	image/png	etag:%226ed895dd174cd2a59216eb5a3ff49a8a%22	https://mvc.mlcdn.com.br/magazinevoce/img/favicon/magazine-voce/apple-touch-icon-72x72.png	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/favicon/magazine-voce/apple-touch-icon-72x72.png	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:20	3784/3784	---M--	200	added ('OK')	image/png	etag:%22edf7aa6092499000e324c08817039911%22	https://mvc.mlcdn.com.br/magazinevoce/img/favicon/magazine-voce/apple-touch-icon-114x114.png	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/favicon/magazine-voce/apple-touch-icon-114x114.png	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:21	3227/3227	---M--	200	added ('OK')	image/png	etag:%222b649a7592951102ce2761345e566e78%22	https://mvc.mlcdn.com.br/magazinevoce/img/favicon/magazine-voce/apple-touch-icon-144x144.png	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/favicon/magazine-voce/apple-touch-icon-144x144.png	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:21	10945/10945	---M-Z	200	added ('OK')	text/css	etag:%221133f4c4ded7b8f90cef100a27795d1f%22	https://mvc.mlcdn.com.br/magazinevoce/bundles/cssStore-637dd0e2533805cf269f.css	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/bundles/cssStore-637dd0e2533805cf269f.css	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2002%20Jul%202020%2019:03:22%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Meus%20Sites/magalu/www.googletagmanager.com/gtm.65445.delayed	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:22	2569/2569	---M--	200	added ('OK')	image/gif	etag:%22b33f7d4ea18068d789c964686af9b36f%22	https://mvc.mlcdn.com.br/magazinevoce/img/loader/loader1.gif	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/img/loader/loader1.gif	(from https://www.magazinevoce.com.br/magazinediegoluan/)
16:03:22	370329/370329	---M-Z	200	added ('OK')	text/css	etag:%22c83dd31911d30671e960048b2c8ae7c6%22	https://mvc.mlcdn.com.br/magazinevoce/bundles/cssBase-637dd0e2533805cf269f.css	C:/Meus%20Sites/magalu/mvc.mlcdn.com.br/magazinevoce/bundles/cssBase-637dd0e2533805cf269f.css	(from https://www.magazinevoce.com.br/magazinediegoluan/)
